Day,Day Name,Activity,Avg Employees,Max Employees,Min Employees
1,Mon,Activity 1,2.9411764705882355,8,1
1,Mon,Activity 2,2.4081632653061225,7,1
2,Tue,Activity 1,4.166666666666667,11,1
2,Tue,Activity 2,3.5588235294117645,8,1
3,Wed,Activity 1,3.933333333333333,9,1
3,Wed,Activity 2,4.0,10,1
4,Thu,Activity 1,3.949367088607595,10,1
4,Thu,Activity 2,2.814814814814815,7,1
5,Fri,Activity 1,4.013513513513513,8,1
5,Fri,Activity 2,2.90625,7,1
6,Sat,Activity 1,4.597222222222222,10,1
6,Sat,Activity 2,2.92,8,1
7,Sun,Activity 1,4.134146341463414,10,1
7,Sun,Activity 2,2.625,9,1
