Hour,Activity,Avg Employees,Max Employees,Min Employees
0,Activity 1,1.7333333333333334,3,1
0,Activity 2,2.5454545454545454,4,2
1,Activity 1,2.5454545454545454,5,1
1,Activity 2,2.2142857142857144,6,1
2,Activity 1,2.590909090909091,6,1
2,Activity 2,2.2777777777777777,5,1
3,Activity 1,2.9545454545454546,5,1
3,Activity 2,2.3,5,1
4,Activity 1,3.6818181818181817,6,2
4,Activity 2,3.1,6,1
5,Activity 1,4.125,7,1
5,Activity 2,4.0,8,1
6,Activity 1,5.8,11,1
6,Activity 2,3.0,8,1
7,Activity 1,4.625,10,1
7,Activity 2,3.4782608695652173,7,1
8,Activity 1,4.8076923076923075,9,1
8,Activity 2,2.5833333333333335,5,1
9,Activity 1,4.925925925925926,10,1
9,Activity 2,4.0,9,1
10,Activity 1,6.111111111111111,10,1
10,Activity 2,3.75,8,1
11,Activity 1,5.074074074074074,10,1
11,Activity 2,3.72,8,1
12,Activity 1,4.538461538461538,9,1
12,Activity 2,3.8095238095238093,9,1
13,Activity 1,5.32,9,2
13,Activity 2,3.0,6,1
14,Activity 1,4.730769230769231,9,1
14,Activity 2,3.3636363636363638,8,1
15,Activity 1,4.37037037037037,9,1
15,Activity 2,3.4545454545454546,10,1
16,Activity 1,3.269230769230769,7,1
16,Activity 2,3.12,6,1
17,Activity 1,3.0384615384615383,5,1
17,Activity 2,3.0,5,1
18,Activity 1,2.92,5,1
18,Activity 2,1.736842105263158,4,1
19,Activity 1,2.347826086956522,4,1
19,Activity 2,1.7142857142857142,3,1
20,Activity 1,1.8461538461538463,5,1
20,Activity 2,2.2222222222222223,4,1
21,Activity 1,2.625,5,1
21,Activity 2,1.8333333333333333,4,1
22,Activity 1,2.4,3,2
22,Activity 2,3.0,3,3
