Day,Day Name,Activity,Total Demand,Total Coverage,Total Gap,% Overcover Periods,% Undercover Periods
1,Mon,Activity 1,261,193,-68,13.541666666666666,47.91666666666666
1,Mon,Activity 2,138,125,-13,14.583333333333334,30.208333333333336
2,Tue,Activity 1,292,332,40,26.041666666666668,23.95833333333333
2,Tue,Activity 2,166,235,69,35.41666666666667,18.75
3,Wed,Activity 1,338,260,-78,18.75,40.625
3,Wed,Activity 2,136,204,68,28.125,26.04166666666667
4,Thu,Activity 1,328,312,-16,16.666666666666664,35.41666666666667
4,Thu,Activity 2,124,152,28,21.875,25.0
5,Fri,Activity 1,413,328,-85,15.625,40.625
5,Fri,Activity 2,172,155,-17,19.791666666666664,27.083333333333343
6,Sat,Activity 1,515,304,-211,10.416666666666668,56.25
6,Sat,Activity 2,235,173,-62,11.458333333333332,39.58333333333334
7,Sun,Activity 1,380,332,-48,16.666666666666664,41.66666666666667
7,Sun,Activity 2,151,196,45,28.125,19.791666666666664
