Hour,Activity,Avg Employees,Max Employees,Min Employees
0,Activity 1,2.2142857142857144,4,1
0,Activity 2,1.6428571428571428,3,1
1,Activity 1,2.5714285714285716,5,1
1,Activity 2,2.2,4,1
2,Activity 1,3.0434782608695654,6,1
2,Activity 2,1.6470588235294117,4,1
3,Activity 1,2.6956521739130435,5,1
3,Activity 2,2.5789473684210527,6,1
4,Activity 1,3.8333333333333335,6,1
4,Activity 2,2.4285714285714284,6,1
5,Activity 1,5.416666666666667,10,2
5,Activity 2,2.409090909090909,6,1
6,Activity 1,5.25,10,1
6,Activity 2,3.4545454545454546,8,1
7,Activity 1,4.333333333333333,9,1
7,Activity 2,3.3636363636363638,9,1
8,Activity 1,4.178571428571429,9,1
8,Activity 2,2.6923076923076925,7,1
9,Activity 1,4.964285714285714,10,1
9,Activity 2,3.185185185185185,8,1
10,Activity 1,5.535714285714286,9,2
10,Activity 2,3.4,7,1
11,Activity 1,5.071428571428571,10,1
11,Activity 2,3.8260869565217392,9,1
12,Activity 1,4.0,8,1
12,Activity 2,3.76,10,1
13,Activity 1,5.32,10,1
13,Activity 2,2.727272727272727,9,1
14,Activity 1,4.555555555555555,9,1
14,Activity 2,3.0833333333333335,7,1
15,Activity 1,4.296296296296297,8,1
15,Activity 2,3.12,10,1
16,Activity 1,4.0,8,1
16,Activity 2,2.392857142857143,6,1
17,Activity 1,2.6666666666666665,5,1
17,Activity 2,2.3333333333333335,5,1
18,Activity 1,2.6296296296296298,5,1
18,Activity 2,1.8421052631578947,4,1
19,Activity 1,2.090909090909091,5,1
19,Activity 2,2.0,4,1
20,Activity 1,2.909090909090909,5,1
20,Activity 2,2.0,3,1
21,Activity 1,2.0,4,1
21,Activity 2,2.2857142857142856,4,1
22,Activity 1,2.8333333333333335,5,1
22,Activity 2,1.75,3,1
