Day,Day Name,Activity,Total Demand,Total Coverage,Total Gap,% Overcover Periods,% Undercover Periods
1,Mon,Activity 1,298,200,-98,11.458333333333332,48.95833333333334
1,Mon,Activity 2,162,118,-44,13.541666666666666,30.20833333333333
2,Tue,Activity 1,348,325,-23,19.791666666666664,30.208333333333343
2,Tue,Activity 2,193,242,49,25.0,27.08333333333333
3,Wed,Activity 1,342,236,-106,14.583333333333334,43.75
3,Wed,Activity 2,213,228,15,23.958333333333336,38.54166666666666
4,Thu,Activity 1,398,312,-86,14.583333333333334,42.70833333333334
4,Thu,Activity 2,167,152,-15,22.916666666666664,32.29166666666667
5,Fri,Activity 1,410,297,-113,12.5,46.875
5,Fri,Activity 2,239,186,-53,13.541666666666666,34.37499999999999
6,Sat,Activity 1,577,331,-246,7.291666666666667,64.58333333333333
6,Sat,Activity 2,287,146,-141,4.166666666666666,56.25
7,Sun,Activity 1,414,339,-75,15.625,36.45833333333333
7,Sun,Activity 2,183,189,6,21.875,27.083333333333336
